id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
168845,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,34,2,18,18,18,34,0,0,0,18,34,0,Generic,1
35007,0.005527,tcp,ftp-data,FIN,14,6,8928,320,3437.669657,31,29,12000724.0,386466.4375,4,1,0.425154,0.9726,22.4964,1.647828,255,644301606,2805175376,255,0.000621,0.000475,0.000146,638,53,0,0,3,0,4,1,1,5,0,0,0,5,3,0,Normal,0
171485,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,25,2,19,19,10,25,0,0,0,19,25,0,Generic,1
14453,1.405614,tcp,-,FIN,12,8,1106,758,13.517224,254,252,5771.143555,3779.131348,3,2,127.700361,170.595422,6582.427405,231.366203,255,3863757200,2498711862,255,0.350677,0.211445,0.139232,92,95,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Normal,0
122609,6e-06,udp,dns,INT,2,0,114,0,166666.6608,254,0,76000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,19,2,17,17,17,19,0,0,0,17,19,0,Generic,1
47347,0.925321,tcp,-,FIN,10,8,534,354,18.372003,254,252,4158.557129,2680.151123,2,1,98.802444,115.692,5229.317397,224.905484,255,3882639401,791748021,255,0.206443,0.115468,0.090975,53,44,0,0,7,1,1,1,1,3,0,0,0,2,4,0,Normal,0
55609,9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,2,3,0,Reconnaissance,1
123289,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,21,2,11,11,11,21,0,0,0,11,21,0,Generic,1
137625,5e-06,unas,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,4,5,0,Exploits,1
100828,58.809574,ospf,-,REQ,30,0,3240,0,0.493117,254,0,426.05307,0.0,0,0,2044.502875,0.0,2252.91125,0.0,0,0,0,0,0.0,0.0,0.0,108,0,0,0,1,6,2,1,1,3,0,0,0,3,1,0,DoS,1
